Designator,Mid X,Mid Y,Rotation,Layer
C1,129.54,-106.426,270.0,top
C2,145.542,-113.284,0.0,top
C3,155.956,-106.172,90.0,top
C4,153.416,-110.744,270.0,top
C5,132.08,-106.4475,270.0,top
C6,153.416,-106.172,90.0,top
D1,161.544,-110.744,180.0,top
D2,161.544,-114.808,180.0,top
J1,116.85,-146.03,270.0,top
J2,115.57,-116.84,180.0,top
J3,138.43,-121.92,180.0,top
R1,166.624,-110.744,0.0,top
R2,166.624,-114.808,0.0,top
S1,140.97,-145.8025,270.0,top
U1,94.561281,-132.03,270.0,top
U2,127.0,-121.57,0.0,top
U3,147.61,-108.45,180.0,top
U4,158.168719,-132.13,90.0,top
