Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,4.7u,
"C2, C4, C5",0805,3,100n,
C6,0805,1,10u,
D1,1206,1,MANUAL,
D2,1206,1,AUTO,
J1,PinSocket_2x04_P2.54mm_Vertical,1,NRF24L01,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Female,
J3,PinSocket_1x14_P2.54mm_Vertical,1,Conn_01x14_Female,
"R1, R2",0805,2,220R,
S1,SW_100SP1T1B4M2QE,1,SW_SPDT_MODE,
U1,XDCR_COM-09032,1,LEFT_STICK,
U2,MODULE_DEV-15583,1,Teensy4.0,
U3,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U4,XDCR_COM-09032,1,RIGHT_STICK,
